freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.345e+01,4.264e+00,1.190e+01,6.961e+01
1.6,4.830e+01,2.094e+01,5.852e+01,1.278e+02
3.1,3.261e+01,2.688e+01,7.663e+01,1.361e+02
4.7,1.920e+02,2.484e+01,8.193e+01,2.988e+02
6.3,5.987e+02,2.515e+01,7.578e+01,6.996e+02
7.8,9.964e+02,2.672e+01,7.188e+01,1.095e+03
9.4,1.432e+03,2.708e+01,7.220e+01,1.531e+03
10.9,1.936e+03,2.500e+01,7.604e+01,2.037e+03
12.5,2.575e+03,2.293e+01,1.099e+02,2.707e+03
14.1,3.442e+03,2.348e+01,1.156e+02,3.581e+03
15.6,4.578e+03,2.419e+01,1.065e+02,4.709e+03
17.2,4.743e+03,2.598e+01,9.983e+01,4.869e+03
18.8,3.581e+03,2.502e+01,9.367e+01,3.699e+03
20.3,2.904e+03,2.555e+01,8.018e+01,3.010e+03
21.9,3.118e+03,2.703e+01,7.216e+01,3.217e+03
23.4,3.715e+03,2.707e+01,7.135e+01,3.814e+03
25.0,4.538e+03,2.804e+01,7.324e+01,4.639e+03
26.6,5.249e+03,2.700e+01,6.880e+01,5.344e+03
28.1,5.707e+03,2.701e+01,6.949e+01,5.803e+03
29.7,6.917e+03,2.637e+01,7.392e+01,7.017e+03
31.3,8.769e+03,2.717e+01,8.251e+01,8.878e+03
32.8,1.066e+04,2.827e+01,7.746e+01,1.077e+04
34.4,1.204e+04,3.406e+01,1.048e+02,1.217e+04
35.9,1.310e+04,6.879e+01,2.154e+02,1.339e+04
37.5,1.636e+04,8.617e+01,2.528e+02,1.670e+04
39.1,2.156e+04,6.870e+01,1.856e+02,2.181e+04
40.6,2.985e+04,6.949e+01,1.806e+02,3.010e+04
42.2,4.506e+04,9.167e+01,2.161e+02,4.537e+04
43.8,7.861e+04,1.661e+02,2.977e+02,7.908e+04
45.3,1.420e+05,2.666e+02,4.435e+02,1.427e+05
46.9,1.457e+05,2.194e+02,4.805e+02,1.464e+05
48.4,6.136e+04,1.008e+02,3.044e+02,6.176e+04
50.0,1.518e+04,4.639e+01,1.579e+02,1.538e+04
51.6,9.435e+03,7.073e+01,1.620e+02,9.667e+03
53.1,2.017e+04,1.713e+02,2.922e+02,2.063e+04
54.7,4.296e+04,2.855e+02,5.985e+02,4.384e+04
56.3,5.804e+04,3.712e+02,9.521e+02,5.936e+04
57.8,3.623e+04,3.639e+02,1.005e+03,3.760e+04
59.4,1.936e+04,5.695e+02,1.764e+03,2.169e+04
61.0,1.836e+04,9.717e+02,3.744e+03,2.307e+04
62.5,2.134e+04,9.562e+02,4.775e+03,2.707e+04
64.1,3.143e+04,6.359e+02,4.360e+03,3.643e+04
65.6,3.787e+04,3.500e+02,3.350e+03,4.157e+04
67.2,3.559e+04,1.820e+02,2.444e+03,3.821e+04
68.8,2.775e+04,9.405e+01,1.766e+03,2.961e+04
70.3,2.295e+04,5.646e+01,1.408e+03,2.441e+04
71.9,1.869e+04,4.200e+01,1.108e+03,1.984e+04
73.5,1.464e+04,4.451e+01,8.410e+02,1.553e+04
75.0,1.106e+04,4.440e+01,6.374e+02,1.174e+04
76.6,8.048e+03,4.593e+01,5.217e+02,8.616e+03
78.1,5.735e+03,3.752e+01,4.841e+02,6.256e+03
79.7,4.084e+03,3.144e+01,4.873e+02,4.602e+03
81.3,3.026e+03,2.957e+01,5.164e+02,3.572e+03
82.8,2.357e+03,3.070e+01,5.449e+02,2.933e+03
84.4,1.985e+03,3.759e+01,6.457e+02,2.668e+03
86.0,1.722e+03,4.676e+01,8.029e+02,2.572e+03
87.5,1.583e+03,6.592e+01,1.017e+03,2.666e+03
89.1,1.438e+03,7.985e+01,1.103e+03,2.621e+03
90.6,1.181e+03,8.002e+01,8.910e+02,2.152e+03
92.2,9.568e+02,7.515e+01,5.766e+02,1.609e+03
93.8,9.582e+02,8.085e+01,3.745e+02,1.414e+03
