freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.727e+00,5.066e+00,3.699e+01,4.679e+01
1.6,2.016e+01,2.308e+01,7.955e+01,1.228e+02
3.1,2.563e+01,2.715e+01,8.091e+01,1.337e+02
4.7,2.626e+01,2.812e+01,2.590e+02,3.134e+02
6.3,2.907e+01,2.943e+01,7.709e+02,8.294e+02
7.8,4.625e+01,2.964e+01,1.584e+03,1.659e+03
9.4,1.568e+02,4.816e+01,3.077e+03,3.282e+03
10.9,3.151e+02,6.746e+01,2.902e+03,3.285e+03
12.5,2.526e+02,4.739e+01,1.019e+03,1.319e+03
14.1,2.116e+02,3.611e+01,1.067e+03,1.315e+03
15.6,2.435e+02,3.268e+01,1.632e+03,1.909e+03
17.2,2.406e+02,3.041e+01,2.113e+03,2.384e+03
18.8,1.448e+02,2.578e+01,2.504e+03,2.675e+03
20.3,9.815e+01,2.801e+01,2.747e+03,2.873e+03
21.9,7.768e+01,3.349e+01,2.908e+03,3.019e+03
23.4,5.178e+01,3.592e+01,2.958e+03,3.046e+03
25.0,4.240e+01,3.422e+01,2.820e+03,2.897e+03
26.6,3.542e+01,3.320e+01,2.592e+03,2.660e+03
28.1,3.151e+01,3.979e+01,1.772e+03,1.843e+03
29.7,3.009e+01,4.170e+01,1.305e+03,1.376e+03
31.3,2.858e+01,5.581e+01,1.535e+03,1.620e+03
32.8,2.654e+01,6.776e+01,1.807e+03,1.902e+03
34.4,2.605e+01,1.113e+02,1.852e+03,1.990e+03
36.0,2.829e+01,1.935e+02,2.379e+03,2.601e+03
37.5,2.681e+01,1.571e+02,2.931e+03,3.115e+03
39.1,2.636e+01,1.236e+02,3.367e+03,3.517e+03
40.6,2.791e+01,1.130e+02,3.757e+03,3.898e+03
42.2,3.139e+01,1.050e+02,3.923e+03,4.059e+03
43.8,3.709e+01,1.112e+02,4.370e+03,4.519e+03
45.3,4.635e+01,1.173e+02,5.017e+03,5.180e+03
46.9,7.746e+01,1.137e+02,5.514e+03,5.705e+03
48.5,1.679e+02,1.042e+02,5.684e+03,5.956e+03
50.0,1.911e+02,1.136e+02,6.188e+03,6.493e+03
51.6,1.073e+02,1.207e+02,7.145e+03,7.373e+03
53.1,6.089e+01,1.215e+02,7.559e+03,7.741e+03
54.7,4.882e+01,1.125e+02,7.450e+03,7.611e+03
56.3,4.538e+01,1.303e+02,7.851e+03,8.027e+03
57.8,3.972e+01,1.626e+02,8.853e+03,9.056e+03
59.4,4.157e+01,2.458e+02,9.919e+03,1.021e+04
61.0,5.852e+01,4.401e+02,1.124e+04,1.174e+04
62.5,6.593e+01,6.219e+02,9.922e+03,1.061e+04
64.1,5.022e+01,5.470e+02,5.275e+03,5.873e+03
65.7,3.924e+01,3.388e+02,2.239e+03,2.617e+03
